1,72
2,48
3,3
4,35
5,53
6,13
7,76
8,83
9,38
10,30
11,98
12,13
13,51
14,28
15,53
16,28
17,43
18,72
19,76
20,47
21,37
22,97
23,85
24,34
25,91
26,25
27,47
28,78
29,64
30,42
31,22
32,68
33,56
34,27
35,24
36,97
37,46
38,84
39,77
40,5
41,81
42,9
43,52
44,11
45,46
46,53
47,18
48,60
49,20
50,1
51,45
52,50
53,59
54,2
55,64
56,25
57,71
58,99
59,19
60,91
61,25
62,15
63,84
64,24
65,37
66,49
67,1
68,89
69,47
70,86
71,96
72,25
73,33
74,2
75,94
76,60
77,97
78,51
79,7
80,41
81,80
82,80
83,89
84,45
85,76
86,46
87,11
88,93
89,69
90,61
91,29
92,2
93,38
94,22
95,22
96,71
97,32
98,40
99,66
100,28
101,47
102,48
103,54
104,25
105,81
106,34
107,64
108,37
109,69
110,34
111,13
112,56
113,42
114,16
115,46
116,95
117,24
118,8
119,79
120,65
121,2
122,94
123,84
124,6
125,68
126,38
127,59
128,96
129,41
130,40
131,69
132,4
133,77
134,19
135,88
136,97
137,32
138,57
139,85
140,30
141,12
142,16
143,7
144,35
145,77
146,91
147,81
148,60
149,22
150,72
151,23
152,57
153,27
154,3
155,19
156,27
157,8
158,54
159,75
160,78
161,25
162,61
163,16
164,50
165,88
166,11
167,82
168,57
169,97
170,2
171,89
172,27
173,34
174,23
175,96
176,5
177,3
178,32
179,10
180,38
181,80
182,41
183,71
184,76
185,58
186,27
187,49
188,20
189,13
190,96
191,99
192,82
193,34
194,4
195,12
196,18
197,58
198,13
199,93
200,15
201,69
202,73
203,91
204,96
205,67
206,2
207,99
208,61
209,46
210,19
211,7
212,3
213,21
214,22
215,17
216,65
217,3
218,93
219,64
220,78
221,92
222,51
223,3
224,26
225,45
226,69
227,4
228,68
229,82
230,9
231,19
232,64
233,21
234,5
235,15
236,9
237,42
238,74
239,98
240,70
241,4
242,82
243,51
244,90
245,58
246,40
247,2
248,30
249,99
250,98
251,22
252,95
253,36
254,79
255,78
256,54
257,11
258,36
259,80
260,71
261,3
262,76
263,94
264,22
265,25
266,43
267,10
268,4
269,28
270,62
271,71
272,78
273,98
274,92
275,87
276,90
277,3
278,44
279,100
280,67
281,66
282,98
283,36
284,60
285,97
286,46
287,57
288,66
289,48
290,1
291,44
292,51
293,57
294,8
295,45
296,80
297,63
298,35
299,39
300,75
301,98
302,18
303,6
304,74
305,63
306,11
307,10
308,40
309,90
310,89
311,42
312,38
313,69
314,34
315,80
316,33
317,60
318,41
319,9
320,24
321,19
322,43
323,8
324,76
325,84
326,51
327,16
328,84
329,37
330,77
331,37
332,37
333,42
334,38
335,57
336,81
337,71
338,14
339,96
340,74
341,55
342,3
